product_id,product_name,category_id,launch_date,price
p-96,Beats Studio3 Wireless (SE),cat-2,10-09-2017,941.62
p-97,Beats Studio3 Wireless (Gen 2),cat-2,31-07-2019,385.28
p-98,Beats Studio3 Wireless (Gen 3),cat-2,03-08-2024,827.05
p-99,Beats Studio3 Wireless (Wireless),cat-2,09-02-2023,411.92
p-100,Beats Solo Pro,cat-2,16-06-2016,237.79
p-101,Beats Solo Pro (2023),cat-2,10-12-2018,393.48
p-102,Beats Solo Pro (2022),cat-2,14-03-2016,999.29
p-103,Beats Solo Pro (Pro),cat-2,10-08-2017,571.53
p-104,Beats Solo Pro (Max),cat-2,15-12-2022,901.51
p-105,Beats Solo Pro (SE),cat-2,25-03-2018,360.8
p-106,Beats Solo Pro (Gen 2),cat-2,18-01-2024,298.12
p-107,Beats Solo Pro (Gen 3),cat-2,31-12-2022,555.99
p-108,Beats Solo Pro (Wireless),cat-2,25-04-2017,511.99
p-109,iPad Pro 12.9,cat-3,22-07-2021,315.57
p-110,iPad Air 5th Gen,cat-3,24-08-2018,800
p-111,iPad Air 9th Gen,cat-3,15-07-2017,900
p-112,iPad  mini 6th Gen,cat-3,20-08-2021,850
p-113,iPad Pro 12.9 (2023),cat-3,22-02-2017,778.17
p-114,iPhone 6,cat-4,19-09-2016,599
p-115,iPhone 6s,cat-4,25-09-2015,649
p-116,iPhone 7,cat-4,16-09-2016,649
p-117,iPhone 7 Plus,cat-4,16-09-2016,769
p-118,iPhone 8,cat-4,22-09-2017,699
p-119,iPhone 8 Plus,cat-4,22-09-2017,799
p-120,iPhone X,cat-4,03-11-2017,999
p-121,iPhone XR,cat-4,26-10-2018,749
p-122,iPhone XS,cat-4,21-09-2018,999
p-123,iPhone XS Max,cat-4,21-09-2018,1099
p-124,iPhone 11,cat-4,20-09-2019,699
p-125,iPhone 11 Pro,cat-4,20-09-2019,999
p-126,iPhone 11 Pro Max,cat-4,20-09-2019,1099
p-127,iPhone SE (2nd Gen),cat-4,24-04-2020,399
p-128,iPhone 12,cat-4,23-10-2020,799
p-129,iPhone 12 Mini,cat-4,13-11-2020,699
p-130,iPhone 12 Pro,cat-4,23-10-2020,999
p-131,iPhone 12 Pro Max,cat-4,13-11-2020,1099
p-132,iPhone 13,cat-4,24-09-2021,799
p-133,iPhone 13 Mini,cat-4,24-09-2021,699
p-134,iPhone 13 Pro,cat-4,24-09-2021,999
p-135,iPhone 13 Pro Max,cat-4,24-09-2021,1099
p-136,iPhone 14,cat-4,16-09-2022,799
p-137,iPhone 14 Plus,cat-4,07-10-2022,899
p-138,iPhone 14 Pro,cat-4,16-09-2022,999
p-139,iPhone 14 Pro Max,cat-4,16-09-2022,1099
p-140,MacBook Pro 13 M1,cat-1,17-11-2020,999
p-141,MacBook Pro 14,cat-1,17-11-2020,1299
p-142,MacBook Pro 16,cat-1,26-10-2021,1999
p-143,iPad 8th Gen,cat-1,26-10-2021,2499
p-144,iPad Air 4th Gen,cat-1,15-07-2022,1199
p-145,iPad Pro 11,cat-3,18-09-2020,329
p-146,AirPods 2nd Gen,cat-3,23-10-2020,599
p-147,Apple Watch Series 6,cat-5,21-05-2021,799
p-148,Apple Watch SE,cat-5,21-05-2021,1099
p-149,Apple Watch Series 7,cat-5,20-03-2019,159
p-150,Apple TV 4K,cat-6,30-10-2019,249
p-151,Apple TV HD,cat-6,15-12-2020,549
p-152,iMac 24-inch,cat-7,18-09-2020,399
p-153,Mac Mini M1,cat-7,18-09-2020,279
p-154,Apple Music,cat-8,15-10-2021,399
p-155,Apple TV+,cat-8,21-05-2021,179
p-156,Apple Arcade,cat-8,04-04-2020,699
p-157,Apple Fitness+,cat-8,07-08-2022,399
p-158,iCloud Storage 50GB,cat-8,30-10-2015,149
p-159,Homepad,cat-9,09-11-2023,200
p-160,HomePod Mini,cat-9,21-05-2021,1299
p-161,MagSafe Charger,cat-10,17-11-2020,699
p-162,Apple Pencil 2nd Gen,cat-10,30-06-2015,500
p-163,Smart Keyboard Folio,cat-10,01-11-2019,209
p-164,Magic keyboard,cat-10,25-08-2033,200
